PRT_ID,AREA,LATITUDE,LONGITUDE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,INT_SQFT,
P07222,KK Nagar,13.0410013,80.1993919,51,4,2,6,Family,No,Others,AllPub,Paved,RH,3.8,3.4,2.9,3.32,370230,231394,11569680,2297,
P01624,Karapakkam,12.9190519,80.2300343,43,1,1,2,Partial,Yes,Others,NoSeWa,Gravel,RL,4.2,2.9,4.1,3.77,383443,117381,7825375,787,
P03449,KK Nagar,13.0410013,80.1993919,37,4,2,6,AbNormal,No,House,NoSewr ,Paved,RH,5,4.6,2.2,3.76,462095,262554,10502160,2317,
P06449,Karapakkam,12.9190519,80.2300343,187,1,1,2,Family,Yes,House,NoSeWa,Gravel,C,3.4,3.8,3,3.36,232584,47574,5286000,749,
P06975,Velachery,12.9754605,80.2207047,188,2,1,4,Family,No,House,NoSewr ,Paved,RM,4.4,3.7,2.6,3.55,313415,195885,9794230,1616,
P01875,Adyar,13.0011774,80.2564957,199,2,2,4,AbNormal,Yes,House,NoSeWa,Paved,RH,2.3,2.4,2.4,2.37,336110,148284,9885575,1284,
P01033,Chrompet,12.951611,80.1461663,176,1,1,2,AbNormal,Yes,Commercial,ELO,No Access,RM,3.1,4.4,2.2,3.35,314343,104781,10478100,756,
P07623,Chrompet,12.951611,80.1461663,132,2,1,4,Normal Sale,No,House,ELO,Paved,RM,3.3,4.1,2.6,3.41,299069,65421,9345900,1238,
P00630,Chrompet,12.951611,80.1461663,41,2,1,4,AbNormal,Yes,House,NoSewr ,Paved,RH,3.6,2.7,4.3,3.45,307364,111769,9314050,1236,
P03626,T Nagar,13.0417591,80.2340761,108,1,1,4,Normal Sale,No,Others,AllPub,Paved,RM,2.3,4.3,4.4,3.745,516824,119267,13251910,1664,
P00626,Anna Nagar,13.0849557,80.2101342,37,1,1,4,Normal Sale,No,Commercial,NoSewr ,Paved,RM,3.6,4.2,3.4,3.67,476629,293310,18331880,1537,
P09760,Velachery,12.9754605,80.2207047,184,2,1,4,Partial,No,Commercial,NoSewr ,Paved,RH,2.4,4.2,4.3,3.78,539147,242616,13478680,1731,
P05390,Chrompet,12.951611,80.1461663,39,1,1,3,AdjLand,Yes,House,NoSewr ,Paved,RH,3.1,4.5,3.4,3.75,293944,35630,8907400,929,
P07904,Chrompet,12.951611,80.1461663,21,1,1,2,Normal Sale,No,House,ELO,Gravel,RM,3,4,3.1,3.43,212831,122787,8185800,786,
P06254,Karapakkam,12.9190519,80.2300343,178,2,2,4,AdjLand,Yes,Others,NoSewr ,Paved,RH,3.6,2.6,5,3.86,401511,146004,9125250,1370,
P04768,Karapakkam,12.9190519,80.2300343,58,2,2,4,AbNormal,No,House,NoSewr ,Gravel,C,3.8,4.8,2.1,3.42,290756,166146,6922750,1685,
P07447,T Nagar,13.0417591,80.2340761,77,1,1,4,AdjLand,No,House,NoSeWa,Paved,RM,4.8,3.1,4.8,4.375,461079,97069,12133650,1549,
P00391,Anna Nagar,13.0849557,80.2101342,107,1,1,4,AdjLand,Yes,Commercial,ELO,Paved,RH,3.1,3.8,2.4,2.995,709816,91002,18200410,1539,
P08647,Anna Nagar,13.0849557,80.2101342,111,2,1,5,AbNormal,No,Others,NoSeWa,No Access,RM,4.4,2.5,3.2,3.366666667,337128,94396,13485130,1898,
P08442,Chrompet,12.951611,80.1461663,131,1,1,3,Partial,Yes,Commercial,NoSewr ,Paved,RH,4.9,4.1,2.2,3.77,376402,70575,11762550,918,
P06293,Chrompet,12.951611,80.1461663,50,1,1,2,AbNormal,Yes,Others,AllPub,Paved,RM,2.9,3.9,5,3.93,227610,63731,9104380,774,
P07662,Chrompet,12.951611,80.1461663,36,1,1,3,Partial,No,Commercial,AllPub,Gravel,RH,4.5,2.5,3.7,3.46,370014,47744,11935950,1072,
P08417,Chrompet,12.951611,80.1461663,59,2,1,4,AdjLand,Yes,Others,ELO,Gravel,RH,3.3,3.4,4.5,3.7,282909,65287,10881130,1239,
P02330,KK Nagar,13.0410013,80.1993919,96,2,1,4,AdjLand,No,Commercial,NoSeWa,Gravel,RH,2.5,3.9,3.8,3.44,376549,230788,12146740,1362,
P00493,T Nagar,13.0417591,80.2340761,128,1,1,4,Partial,Yes,Others,NoSeWa,Gravel,RL,3.3,2.4,2.2,2.58,437999,169548,14128990,1785,
P07325,KK Nagar,13.0410013,80.1993919,104,3,2,5,Family,Yes,House,NoSeWa,Gravel,RL,4.2,4.5,2.6,3.65,354642,118214,11821400,2181,
P08211,KK Nagar,13.0410013,80.1993919,99,3,2,5,AbNormal,Yes,Others,NoSeWa,Paved,RM,3.2,4.1,4.1,3.83,438509,162875,12528840,2033,
P05729,Adyar,13.0011774,80.2564957,167,1,1,3,Partial,No,Commercial,NoSewr ,Gravel,C,3.5,4.7,4.1,4.04,422082,158281,10552045,952,
P00001,Chrompet,12.951611,80.1461663,176,1,1,3,AbNormal,No,Commercial,AllPub,No Access,RM,4.9,3.6,2.5,3.66,409401,62031,12406100,1066,
P08254,Chrompet,12.951611,80.1461663,58,1,1,3,Partial,Yes,Commercial,AllPub,Paved,RM,2,4.4,2.6,3.14,460074,230037,14377300,1153,
P02188,Velachery,12.9754605,80.2207047,190,3,2,5,Partial,Yes,House,ELO,No Access,RH,4.6,4,3.2,3.91,322572,123336,9487400,1849,
P06445,Karapakkam,12.9190519,80.2300343,190,1,1,3,Partial,Yes,House,ELO,No Access,I,2.7,3,2.7,2.79,246263,65670,5472500,1095,
P07020,Adyar,13.0011774,80.2564957,135,1,1,3,Partial,Yes,Others,AllPub,No Access,RM,4.9,2.7,3.4,3.71,369104,10253,10252895,1100,
P03543,Adyar,13.0011774,80.2564957,72,2,2,4,AbNormal,No,House,AllPub,Gravel,RM,2.2,2.3,3.8,3.02,439572,65936,10989305,1300,
P02570,T Nagar,13.0417591,80.2340761,12,2,1,5,Normal Sale,No,House,AllPub,Paved,RH,4,2.2,4.2,3.64,426177,153897,11838240,1806,
P08984,Anna Nagar,13.0849557,80.2101342,167,2,1,5,Family,No,House,NoSeWa,Paved,RL,2.8,3.2,2.9,2.94,492338,164113,12624040,1897,
P09158,Chrompet,12.951611,80.1461663,158,1,1,3,Partial,No,House,AllPub,Gravel,RH,2.2,3.6,4,3.3,215489,132609,8288050,1121,
P09545,Adyar,13.0011774,80.2564957,50,1,1,3,Partial,No,Commercial,NoSeWa,Paved,RL,4.5,2.9,4,3.93,392828,71423,11903865,985,
P09767,Velachery,12.9754605,80.2207047,13,2,1,4,AbNormal,Yes,Others,AllPub,Gravel,C,2.1,2.2,2.7,2.33,308222,154111,10274050,1782,
P02771,Anna Nagar,13.0849557,80.2101342,198,1,1,4,AdjLand,No,Commercial,ELO,Paved,RH,2.1,2.4,3.9,2.895,434969,121791,17398770,1582,
P09038,Chrompet,12.951611,80.1461663,72,2,1,4,AbNormal,Yes,House,NoSeWa,No Access,RL,2.6,4.3,5,4,300096,48403,9680500,1225,
P04549,KK Nagar,13.0410013,80.1993919,25,2,1,4,AdjLand,Yes,House,NoSewr ,Gravel,RM,5,4.8,3.6,4.38,379362,118551,11855060,1727,
P09933,Velachery,12.9754605,80.2207047,29,2,1,4,AdjLand,Yes,Commercial,ELO,Paved,RL,3.1,3.4,4.1,3.54,618119,110944,15849210,1712,
P09539,Adyar,13.0011774,80.2564957,82,1,1,3,Family,Yes,Others,NoSewr ,No Access,I,2.8,5,3.7,3.69,326257,85857,8585715,1089,
P02904,Velachery,12.9754605,80.2207047,80,2,1,4,Family,No,Commercial,ELO,Paved,I,4.9,2.8,2.2,3.15,423724,229040,11452010,1532,
P02838,KK Nagar,13.0410013,80.1993919,103,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,RH,2,2.8,3.7,2.92,348318,232212,9675500,1301,
P07586,Adyar,13.0011774,80.2564957,180,1,1,3,AbNormal,No,Others,AllPub,No Access,I,2,2.6,2.8,2.52,251434,50287,6285850,812,
P04938,Chrompet,12.951611,80.1461663,113,1,1,3,Family,No,House,AllPub,Gravel,RL,5,2.3,2.7,3.23,242226,125020,7813750,863,
P05156,Velachery,12.9754605,80.2207047,78,2,1,4,Normal Sale,Yes,House,NoSewr ,No Access,RM,2.3,2.1,5,3.02,312940,100948,10094840,1686,
P01880,Karapakkam,12.9190519,80.2300343,146,1,1,3,Normal Sale,No,Commercial,NoSewr ,Paved,RM,4.6,2.7,4.3,3.91,449430,235951,11235750,1332,
P01210,Chrompet,12.951611,80.1461663,184,1,1,3,Normal Sale,Yes,Commercial,AllPub,Gravel,RM,2.4,2.6,2.5,2.51,420241,149118,13556150,969,
P05691,Adyar,13.0011774,80.2564957,77,2,2,4,Normal Sale,No,House,NoSewr ,Paved,RH,3.6,3.3,3.1,3.29,333885,135359,9023925,1300,
P01657,Karapakkam,12.9190519,80.2300343,101,1,1,2,Normal Sale,Yes,Others,ELO,Gravel,A,2.2,4.6,2,2.84,175082,87541,4863375,593,
P03549,Chrompet,12.951611,80.1461663,56,1,1,3,AbNormal,No,House,NoSewr ,Paved,RH,4,2.9,4,3.56,201847,110690,6511200,809,
P03357,Karapakkam,12.9190519,80.2300343,138,1,1,3,Normal Sale,Yes,Others,NoSewr ,No Access,RH,4,4.2,3.9,4.02,345512,90134,7511125,1105,
P06358,Karapakkam,12.9190519,80.2300343,178,1,1,2,Normal Sale,No,Others,NoSeWa,Paved,A,4.8,3.8,4.9,4.54,126567,48216,3013500,542,
P05504,Karapakkam,12.9190519,80.2300343,10,2,2,4,AbNormal,No,House,ELO,Gravel,RM,3.3,2.4,3.4,3.07,388238,138656,9243750,1608,
P02099,KK Nagar,13.0410013,80.1993919,168,4,2,6,AbNormal,No,Commercial,NoSewr ,Gravel,RH,2.3,3.9,2.4,2.82,644646,296189,17422860,2271,
P03917,KK Nagar,13.0410013,80.1993919,31,3,2,5,Partial,No,House,AllPub,Gravel,RH,3.7,4,3.1,3.55,327268,198344,9917200,1915,
P05611,KK Nagar,13.0410013,80.1993919,69,3,2,5,Partial,No,Commercial,NoSewr ,Paved,RM,4,2.3,4.6,3.73,707062,168348,16834800,2152,
P08863,Adyar,13.0011774,80.2564957,167,1,1,3,AdjLand,No,Others,NoSeWa,Pavd,C,3.8,3.1,4.2,3.86,288302,7587,7586885,1068,
P05940,Velachery,12.9754605,80.2207047,197,3,2,5,Normal Sale,No,House,AllPub,Paved,RH,4.4,4.7,3.3,4.21,347398,142522,8907630,1810,
P09642,Velachery,12.9754605,80.2207047,149,3,2,5,AdjLand,Yes,Others,NoSeWa,No Access,A,4.8,3.7,2.1,3.5,380773,199906,9519320,1939,
P05699,Anna Nagar,13.0849557,80.2101342,6,2,1,5,AbNormal,No,Commercial,ELO,No Access,RM,3.8,3.4,3.4,3.54,555981,123551,20591900,1905,
P00015,Chrompet,12.951611,80.1461663,33,1,1,3,AbNormal,Yes,House,AllPub,No Access,RH,3.3,3.2,4.7,3.68,235229,121670,8111350,1057,
P02363,Velachery,12.9754605,80.2207047,84,3,2,5,Family,Yes,Commercial,NoSewr ,Paved,RL,3.6,3.6,3.3,3.51,576972,263759,16484920,1920,
P00880,T Nagar,13.0417591,80.2340761,111,1,1,4,AbNormal,No,House,NoSeWa,Gravel,RL,4.1,4.5,2,3.255,383765,179890,11992650,1577,
P01942,Karapakkam,12.9190519,80.2300343,37,1,1,2,Partial,Yes,Others,ELO,Paved,C,3.9,2.3,4,3.46,210265,73593,5256625,787,
P01143,T Nagar,13.0417591,80.2340761,129,2,1,5,AbNormal,Yes,House,ELO,Gravel,RM,3.5,4,4.3,3.985,500318,103007,14715230,1916,
P07562,KK Nagar,13.0410013,80.1993919,107,2,1,4,Partial,Yes,Others,AllPub,Paved,RM,2.9,3.1,4,3.4,411516,119123,10829380,1527,
P00315,Chrompet,12.951611,80.1461663,77,2,1,4,Family,No,House,AllPub,Gravel,RL,4.7,2.3,5,3.83,311904,97470,9747000,1248,
P08575,Velachery,12.9754605,80.2207047,120,2,1,4,Partial,No,House,NoSeWa,Gravel,RL,3.9,4,4.8,4.22,306689,113913,8762530,1555,
P01534,KK Nagar,13.0410013,80.1993919,101,4,2,6,AdjLand,No,Commercial,AllPub,Paved,RH,4.4,3.5,3.7,3.85,858938,315528,17529340,2323,
P09559,Chrompet,12.951611,80.1461663,31,1,1,3,AbNormal,Yes,House,AllPub,Paved,RL,4.8,4.7,2.4,4.04,229958,73586,9198300,961,
P00256,Chrompet,12.951611,80.1461663,22,1,1,3,AbNormal,No,Others,NoSewr ,Paved,RM,3,2.8,4.8,3.46,264701,79410,8823380,849,
P09902,Velachery,12.9754605,80.2207047,70,3,2,5,Normal Sale,Yes,Commercial,AllPub,Gravel,A,2.2,4.5,2,3.18,474850,122542,15317750,1938,
P00770,Chrompet,12.951611,80.1461663,31,1,1,3,AbNormal,No,Others,AllPub,Gravel,RM,2.9,2.6,3.1,2.84,335029,131981,10152390,1147,
P08419,Anna Nagar,13.0849557,80.2101342,82,2,1,5,AbNormal,Yes,Commercial,NoSeWa,Gravel,RL,2.5,2.4,2.8,2.595,662045,342437,22829130,1976,
P04455,Karapakkam,12.9190519,80.2300343,51,1,1,3,Partial,No,Other,ELO,Paved,RL,4.1,2.4,3.9,3.51,295792,151335,6878875,973,
P08079,KK Nagar,13.0410013,80.1993919,106,2,1,4,Partial,Yes,Others,AllPub,Gravel,RM,2.5,4.9,4.7,4.1,414251,276168,11506980,1472,
P07241,Anna Nagar,13.0849557,80.2101342,48,1,1,4,Normal Sale,No,Others,AllPub,Paved,RM,3.2,2.5,3.1,2.985,349824,148003,13454780,1689,
P05450,Karapakkam,12.9190519,80.2300343,83,1,1,3,Family,Yes,Commercial,AllPub,Paved,RM,2.6,4.3,3.3,3.39,433728,192768,12048000,1208,
P02659,Adyar,13.0011774,80.2564957,185,2,2,4,Normal Sale,No,Others,AllPub,No Access,RM,2.7,3.7,3.9,3.5,344625,150773,10769525,1268,
P08816,T Nagar,13.0417591,80.2340761,26,1,1,4,Partial,No,House,NoSewr ,No Access,RH,3.6,3.3,3.8,3.615,413713,82743,10342830,1640,
P06608,Adyar,13.0011774,80.2564957,186,1,1,2,Normal Sale,Yes,House,NoSeWa,No Access,C,4.5,4.2,4.3,4.34,223890,72764,5597240,635,
P04833,Velachery,12.9754605,80.2207047,38,3,2,5,AbNormal,Yes,House,NoSewr ,Gravel,RH,2,4.6,4.2,3.83,361850,203541,11307820,1996,
P07856,KK Nagar,13.0410013,80.1993919,28,4,2,6,Normal Sale,No,House,AllPub,Paved,RH,4.5,3.5,3.7,3.88,331219,220812,11040620,2404,
P03958,Velachery,12.9754605,80.2207047,43,2,1,4,Normal Sale,Yes,Commercial,AllPub,No Access,I,4.6,4.2,2.1,3.67,488057,237433,13190720,1675,
P05929,Chrompet,12.951611,80.1461663,183,1,1,2,Normal Sale,No,Others,NoSeWa,No Access,RL,3.4,4.5,4.1,4.05,186183,78770,7160890,797,
P01541,Karapakkam,12.9190519,80.2300343,67,1,1,3,Partial,No,Others,ELO,Paved,C,2.5,5,3.3,3.57,259578,67716,5643000,1256,
P01328,T Nagar,13.0417591,80.2340761,24,2,1,5,Normal Sale,Yes,Commercial,ELO,Gravel,RH,2.8,4.2,3.1,3.285,820722,421452,22181670,1938,
P01545,Chrompet,12.951611,80.1461663,99,1,1,2,AbNormal,Yes,Commercial,AllPub,Paved,RM,2.5,3.3,3,2.97,376718,159820,11415700,757,
P06395,karapakkam,12.98774169,80.20531978,130,1,1,2,Partial,No,House,ELO,Paved,RL,3.7,4.2,3.9,3.93,193960,82433,4849000,520,
P04641,Karapakkam,12.9190519,80.2300343,82,1,1,2,Family,Yes,Commercial,NoSeWa,Gravel,RM,2.1,4.4,3.1,3.19,436265,166196,10387250,878,
P06962,Adyar,13.0011774,80.2564957,29,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,A,4.8,2.8,3.1,3.55,326687,163344,10889570,927,
P09793,Velachery,12.9754605,80.2207047,18,2,1,4,Partial,Yes,House,AllPub,Paved,RL,4.7,2,3.3,3.07,362551,165738,10358610,1751,
P01314,Chrompet,12.951611,80.1461663,36,1,1,2,AbNormal,No,Others,NoSeWa,Gravel,RM,3.9,4.8,4.2,4.35,237333,135619,8476180,764,
P05936,Velachery,12.9754605,80.2207047,2,2,1,4,AdjLand,No,Commercial,AllPub,No Access,I,3.7,4.6,4.7,4.41,484627,248863,13098030,1674,
P08773,Velachery,12.9754605,80.2207047,8,2,1,4,Family,Yes,House,ELO,Gravel,RL,2.6,2.1,3.7,2.71,415148,202252,10644830,1681,
P07067,Anna Nagar,13.0849557,80.2101342,65,2,1,5,AdjLand,No,Commercial,NoSeWa,Paved,RL,4.1,4.8,2.1,3.475,751564,322099,21473270,1976,
P08315,Anna Nagar,13.0849557,80.2101342,79,1,1,4,Normal Sale,No,House,ELO,No Access,RH,3.7,2.1,3.7,3.3,240761,144456,9630420,1505,
P05932,Karapakkam,12.9190519,80.2300343,165,1,1,2,Normal Sale,No,House,AllPub,Paved,RL,3.1,3.4,2,2.75,244274,96424,6428250,888,
P07317,Velachery,12.9754605,80.2207047,24,2,1,4,Family,Yes,House,ELO,No Access,A,3.3,4.4,2.5,3.56,259637,59346,7418190,1680,
P04200,Karapakkam,12.9190519,80.2300343,62,1,1,2,Family,Yes,Others,NoSeWa,Gravel,RH,2.2,2.3,2.9,2.51,287909,65434,6543375,631,
P01785,Chrompet,12.951611,80.1461663,151,2,1,4,Partial,Yes,House,NoSewr ,Paved,RM,3.8,3.2,4.8,3.86,269684,53937,10787350,1227,
P01903,Karapakkam,12.9190519,80.2300343,60,1,1,3,AbNormal,Yes,Others,ELO,Paved,RL,2.1,2.5,3.9,2.94,320917,86100,7827250,1124,
P08726,Anna Nagar,13.0849557,80.2101342,84,2,1,5,Family,Yes,Commercial,ELO,Paved,RM,5,2.9,3.2,3.755,740832,112247,22449450,1962,
P06346,Chrompet,12.951611,80.1461663,157,2,1,4,Partial,No,Others,NoSeWa,Paved,RL,2.5,3.9,3.3,3.3,320713,77749,9718570,1261,
P08377,Chrompet,12.951611,80.1461663,63,1,1,3,Family,No,Commercial,NoSeWa,Paved,RM,3.3,4.7,3.4,3.89,331775,66355,13271000,1164,
P06815,KK Nagar,13.0410013,80.1993919,169,1,1,3,Normal Sale,Yes,House,AllPub,Gravel,RH,4.3,4.3,2.6,3.62,470726,188290,9414520,1313,
P04923,T Nagar,13.0417591,80.2340761,24,1,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RL,4.7,2.5,4.4,4.015,557470,238916,19909630,1723,
P08660,Adyar,13.0011774,80.2564957,128,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RL,4.2,2.7,4.4,4,537345,119410,14926255,1144,
P04936,Velachery,12.9754605,80.2207047,83,2,1,4,AdjLand,Yes,Commercial,AllPub,Paved,RM,4.7,2.8,4,3.64,504099,252050,16803310,1740,
P07066,Chrompet,12.951611,80.1461663,3,1,1,3,Partial,Yes,Others,NoSeWa,Paved,RM,4.8,3.4,2.1,3.43,335090,104716,10471560,1163,
P04353,Chrompet,12.951611,80.1461663,87,1,1,2,Partial,No,House,NoSeWa,Gravel,RM,2.1,4.1,2.4,2.99,240123,131680,7745900,708,
P04720,Velachery,12.9754605,80.2207047,50,3,2,5,Partial,No,House,AllPub,Paved,C,4.8,4.7,3.3,4.31,250920,121658,7603630,1855,
P03546,Karapakkam,12.9190519,80.2300343,87,1,1,2,Family,No,Commercial,AllPub,Paved,RM,4.9,3,3.8,3.89,256176,149436,7116000,563,
P05835,Anna Nagar,13.0849557,80.2101342,74,1,1,4,AdjLand,Yes,Others,NoSeWa,Paved,RM,4.4,2.3,2.1,2.955,368481,250567,14739250,1768,
P02411,Karapakkam,12.9190519,80.2300343,191,1,1,3,Partial,Yes,House,NoSewr ,Paved,C,4.1,3,4.7,4.01,289800,133308,5796000,943,
P07424,Chrompet,12.951611,80.1461663,58,1,1,3,AbNormal,No,House,NoSewr ,No Access,RM,2.8,2,3.6,2.72,233145,127854,7520800,931,
P04303,Chrompet,12.951611,80.1461663,190,1,1,3,AdjLand,Yes,House,NoSewr ,Paved,RL,4.5,4.7,2.1,3.86,291054,126123,9701800,1127,
P06944,KK Nagar,13.0410013,80.1993919,113,2,1,4,Family,No,Commercial,AllPub,Paved,RM,4.3,4.9,4.3,4.48,510947,127737,14192960,1629,
P07711,Anna Nagar,13.0849557,80.2101342,56,1,1,4,AbNormal,Yes,Others,NoSewr ,Gravel,RM,3.9,2.4,4.1,3.605,447611,283487,14920370,1656,
P00562,T Nagar,13.0417591,80.2340761,127,1,1,4,Family,Yes,House,AllPub,Paved,RL,3.1,3.1,3.8,3.415,362910,207377,12961070,1676,
P05735,Chrompet,12.951611,80.1461663,133,1,1,3,AdjLand,No,House,NoSeWa,Gravel,RL,4.8,4.2,4,4.32,253929,122869,8191250,856,
P08860,Velachery,12.9754605,80.2207047,1,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RH,3.6,2.9,2.2,2.87,543322,132159,14684370,1663,
P04831,Anna Nagar,13.0849557,80.2101342,182,2,1,5,AdjLand,Yes,House,ELO,Paved,RH,3.5,2.8,2.6,2.965,447194,65764,13152750,1905,
P02609,Karapakkam,12.9190519,80.2300343,195,1,1,2,AdjLand,Yes,Others,NoSewr ,Paved,RL,4.7,4.3,4.3,4.42,329825,173158,8245625,861,
P01802,Chrompet,12.951611,80.1461663,105,1,1,3,Normal Sale,Yes,Others,NoSeWa,Paved,RH,3.7,4,2.8,3.55,269562,96272,9627210,1183,
P02141,Karapakkam,12.9190519,80.2300343,171,2,2,4,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,3.8,4,4.2,4,415616,164059,10937250,1352,
P02698,Anna Nagar,13.0849557,80.2101342,196,1,1,4,Normal Sale,No,Others,NoSeWa,Paved,RH,4.1,4.6,3,3.9,406091,175607,10975430,1510,
P07414,Chrompet,12.951611,80.1461663,163,1,1,3,Partial,Yes,Others,NoSewr ,Paved,RM,2.9,3,2,2.67,259049,29890,9963440,987,
P02608,Karapakkam,12.9190519,80.2300343,198,1,1,3,AbNormal,Yes,Others,AllPub,Paved,I,3.8,4.1,3.9,3.93,234911,70473,7830375,1245,
P01275,Chrompet,12.951611,80.1461663,140,1,1,3,Family,No,House,NoSeWa,No Access,RH,4.7,3.2,4.4,4.01,216479,52254,7464800,1144,
P02785,Chrompet,12.951611,80.1461663,28,1,1,2,Family,No,House,NoSewr ,Paved,RL,2.6,3.2,3,2.96,191691,102692,6846100,790,
P06432,KK Nagar,13.0410013,80.1993919,91,2,1,4,Partial,Yes,Others,NoSeWa,Paved,RM,5,3.7,2.2,3.49,472600,168786,11252380,1736,
P03369,Velachery,12.9754605,80.2207047,149,3,2,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,3.8,3.2,4.8,3.83,394317,168993,11266200,1950,
P03168,KK Nagar,13.0410013,80.1993919,48,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RL,2.9,2.2,3.4,2.89,762560,443349,17733960,2186,
P01905,Adyar,13.0011774,80.2564957,68,1,1,3,Normal Sale,No,House,ELO,Paved,RM,2.5,2.7,4.3,3.44,291739,25006,8335390,843,
P07293,Adyar,13.0011774,80.2564957,129,1,1,3,AdjLand,No,House,NoSewr ,Gravel,RH,2.1,4.4,2.4,2.71,289160,108435,9036250,1022,
P01863,KK Nagar,13.0410013,80.1993919,175,4,2,6,Normal Sale,No,Others,NoSewr ,Paved,RH,2.6,3.5,3.6,3.27,400209,129479,11770840,2397,
P09357,Chrompet,12.951611,80.1461663,31,1,1,3,Partial,No,Others,ELO,Gravel,RM,2.1,4.8,2.7,3.36,247506,123753,9519460,1083,
P02249,Adyar,13.0011774,80.2564957,9,1,1,3,AbNormal,No,Commercial,ELO,No Access,C,4.5,2.2,2.4,2.99,269544,125787,8984810,923,
P03739,Anna Nagar,13.0849557,80.2101342,141,2,1,5,Family,Yes,Commercial,AllPub,Paved,RM,2.8,4.2,2.7,3.11,659599,227448,22744800,1958,
P03394,Adyar,13.0011774,80.2564957,91,1,1,2,Partial,Yes,House,NoSeWa,Gravel,RL,4.1,2.5,4.9,4.18,301229,40707,8141330,631,
P08504,Anna Nagar,13.0849557,80.2101342,121,2,1,5,Normal Sale,No,Commercial,ELO,No Access,RM,3.2,3.9,3.9,3.655,495159,297095,19806350,1829,
P02179,KK Nagar,13.0410013,80.1993919,7,4,2,6,AdjLand,No,House,NoSewr ,Paved,RM,3.6,4.9,4.3,4.27,418840,167536,11966860,2228,
P08968,Anna Nagar,13.0849557,80.2101342,102,2,1,5,AdjLand,Yes,Others,ELO,Gravel,RH,4.3,3,2,3.055,383569,138085,15342740,1969,
P07773,Chrompet,12.951611,80.1461663,100,1,1,3,Family,No,Others,AllPub,Gravel,RL,4.6,3.8,3.9,4.07,329528,49929,9985710,1128,
P05110,Adyar,13.0011774,80.2564957,40,1,1,3,AbNormal,No,Others,ELO,Paved,C,2.9,4.5,2.7,3.12,212608,19328,6442655,922,
P05416,Chrompet,12.951611,80.1461663,178,1,1,3,AdjLand,Yes,Commercial,AllPub,Paved,RH,3.6,2.6,3.3,3.11,374863,166606,13883800,1141,
P09675,Velachery,12.9754605,80.2207047,89,2,1,4,AbNormal,No,House,AllPub,Gravel,RL,3.5,5,4.9,4.6,307540,138889,9920630,1537,
P07801,Adyar,13.0011774,80.2564957,192,1,1,2,AdjLand,Yes,Commercial,ELO,Paved,RL,3.8,3,4.2,3.84,457082,102843,11427045,720,
P03012,KK Nagar,13.0410013,80.1993919,27,3,2,5,Normal Sale,No,Others,NoSeWa,Paved,RL,3.1,4.5,3.4,3.64,448045,94325,11790660,2175,
P07506,Adyar,13.0011774,80.2564957,183,1,1,3,AdjLand,Yes,Others,NoSeWa,No Access,A,4.6,4.3,3.4,3.94,247073,115301,8235750,1152,
P06959,KK Nagar,13.0410013,80.1993919,54,4,2,6,AdjLand,Yes,House,NoSewr ,Paved,RL,2.2,2.7,4.8,3.39,526165,263083,12527740,2278,
P05958,KK Nagar,13.0410013,80.1993919,51,4,2,6,Partial,Yes,Commercial,NoSewr ,Paved,RL,2.2,3.7,2.1,2.61,698009,174502,19389140,2460,
P08576,Velachery,12.9754605,80.2207047,34,3,2,5,Normal Sale,Yes,Commercial,AllPub,Gravel,RL,4.1,3.4,3.7,3.67,622914,177975,17797530,1940,
P05297,Karapakkam,12.9190519,80.2300343,38,1,1,2,AbNormal,No,Others,NoSewr ,Paved,I,2.6,3.9,2.3,2.87,224646,46801,4680125,693,
P00413,Chrompet,12.951611,80.1461663,2,1,1,3,Normal Sale,No,House,AllPub,Gravel,RL,4.4,3.6,3.2,3.72,223814,62668,8952550,966,
P03152,Adyar,13.0011774,80.2564957,4,1,1,3,AbNormal,Yes,House,NoSeWa,Paved,RL,4.9,4.4,4.7,4.7,327263,46752,9350380,898,
P03875,Adyar,13.0011774,80.2564957,75,1,1,3,AbNormal,No,Commercial,AllPub,Gravel,A,4.1,3.8,4.5,4.24,355555,9877,9876540,918,
P02073,Anna Nagar,13.0849557,80.2101342,188,2,1,5,Normal Sale,No,Commercial,ELO,No Access,RH,2,2.1,4.4,2.985,588296,215708,19609850,1918,
P03841,KK Nagar,13.0410013,80.1993919,193,4,2,6,Normal Sale,No,Commercial,NoSeWa,Paved,RH,2.7,2.6,3.8,3.11,515133,343422,17171100,2333,
P05313,Karapakkam,12.9190519,80.2300343,49,1,1,2,AbNormal,Yes,House,ELO,Paved,C,3.2,2.8,2.9,2.96,179635,48550,4855000,768,
